Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR7179507 - polya	(1, 0.0023331293267812234)	(2, 0.0027599212768021786)	(3, 0.00322939242182523)	(4, 0.004146995114370284)	(5, 0.00492233382357502)	(6, 0.0058043705202849944)	(7, 0.006978048382842622)	(8, 0.00935385690462594)	(9, 0.013365701234822922)	(10, 0.017975054295049243)	(11, 0.020009429256815797)	(12, 0.02223586059609178)	(13, 0.024568989922873003)	(14, 0.027905080332203472)	(15, 0.030081719277310345)	(16, 0.03269937657077221)	(17, 0.03623463655677912)	(18, 0.037934691157695925)	(19, 0.0394853685761054)	(20, 0.04117830997785519)	(21, 0.04329093013045892)	(22, 0.04528262589722338)	(23, 0.046925774904804055)	(24, 0.04834841473820724)	(25, 0.0497141489782743)	(26, 0.05169873154587174)	(27, 0.05414567205932522)	(28, 0.05659972577194571)	(29, 0.05891151550122589)	(30, 0.06110949404383381)	(31, 0.06400456610480929)	(32, 0.06666490259327325)	(33, 0.06916163550089584)	(34, 0.07168682120518649)	(35, 0.07404129012946876)	(36, 0.07645977784625417)	(37, 0.0785226056046888)	(38, 0.08042894298144906)	(39, 0.08255578953238682)	(40, 0.08448346650664813)	(41, 0.08725050098261733)	(42, 0.08988238467441323)	(43, 0.09253560796371016)	(44, 0.09435658695046624)	(45, 0.09622024513222441)	(46, 0.09792029973314122)	(47, 0.10080114539578267)	(48, 0.10324808590923615)	(49, 0.10546740404934511)	(50, 0.10780764657529336)	(51, 0.10967841795621855)	(52, 0.11115085018379084)	(53, 0.11294337637387886)	(54, 0.1149279589414763)	(55, 0.11674893792823238)	(56, 0.11888289767833715)	(57, 0.12398306148108756)	(58, 0.12633041720620283)	(59, 0.12803758500628665)	(60, 0.12955980962802804)	(61, 0.13213478772648782)	(62, 0.13611817926001674)	(63, 0.13943293007184615)	(64, 0.15492547785760685)	(65, 0.1607583011745599)
SRR7179507 - polyg	(1, 0.016666225648318312)	(2, 0.23635026872243814)	(3, 0.23697623024913553)	(4, 0.23716828662664496)	(5, 0.2373105506099853)	(6, 0.23759507857666592)	(7, 0.23764487097083503)	(8, 0.23780136135250937)	(9, 0.23802898372585388)	(10, 0.23829217209503348)	(11, 0.23844866247670782)	(12, 0.23879720923589162)	(13, 0.23897503921506702)	(14, 0.23935203877091885)	(15, 0.23938049156758692)	(16, 0.23943739716092305)	(17, 0.23948007635592514)	(18, 0.2395156423517602)	(19, 0.23957254794509636)	(20, 0.23967213273343457)	(21, 0.23989264190761206)	(22, 0.2399566607001152)	(23, 0.24001356629345133)	(24, 0.24011315108178954)	(25, 0.24019850947179375)	(26, 0.24024830186596285)	(27, 0.24029809426013196)	(28, 0.24034788665430107)	(29, 0.24056128262931156)	(30, 0.24074622580765398)	(31, 0.24091694258766236)	(32, 0.24100230097766653)	(33, 0.24116590455850792)	(34, 0.24131528174101524)	(35, 0.24148599852102362)	(36, 0.24157847011019484)	(37, 0.24172784729270216)	(38, 0.24184877167854144)	(39, 0.24206216765355193)	(40, 0.24226845042939538)	(41, 0.24246762000607183)	(42, 0.24262411038774617)	(43, 0.24319316632110746)	(44, 0.2437053166611326)	(45, 0.24396139183114518)	(46, 0.24427437259449386)	(47, 0.2445162213661724)	(48, 0.2448576549261892)	(49, 0.2467924450996175)	(50, 0.24788787777133797)	(51, 0.24825776412802278)	(52, 0.2524972308315643)	(53, 0.25319432434993183)	(54, 0.2534788523166125)	(55, 0.25372070108829103)	(56, 0.2539625498599696)	(57, 0.254161719436646)	(58, 0.25443913420415964)	(59, 0.2547378885691743)	(60, 0.2549726241416858)	(61, 0.25530694450253555)	(62, 0.2555843592700492)	(63, 0.2559186796308989)	(64, 0.25619609439841257)	(65, 0.2566299995476005)
SRR7179508 - illumina_universal_adapter	(1, 3.0440699751323837e-05)	(2, 3.65288397015886e-05)	(3, 6.0881399502647674e-05)	(4, 9.13220992539715e-05)	(5, 9.13220992539715e-05)	(6, 0.00010349837915450104)	(7, 0.00010349837915450104)	(8, 0.00011567465905503058)	(9, 0.00011567465905503058)	(10, 0.0001461153588063544)	(11, 0.00016437977865714872)	(12, 0.000182644198507943)	(13, 0.0002009086183587373)	(14, 0.00023134931811006116)	(15, 0.000261790017861385)	(16, 0.0002739662977619145)	(17, 0.0002800544377121793)	(18, 0.00028614257766244406)	(19, 0.00030440699751323836)	(20, 0.0003896409568169451)	(21, 0.0004505223563195928)	(22, 0.000547932595523829)	(23, 0.0006636072545788596)	(24, 0.0007366649339820368)	(25, 0.0008645158729375969)	(26, 0.0009619261121418332)	(27, 0.001095865191047658)	(28, 0.0013211263692074545)	(29, 0.00157074010716831)	(30, 0.0019969099036868435)	(31, 0.002514401799459349)	(32, 0.003086686954784237)	(33, 0.0037442060694128317)	(34, 0.004535664262947252)	(35, 0.005381915716034054)	(36, 0.006532574166634095)	(37, 0.007744114016736784)	(38, 0.009193091324899798)	(39, 0.010983004470277639)	(40, 0.013071236473218456)	(41, 0.01571957735158363)	(42, 0.018909762685522368)	(43, 0.022623528055183875)	(44, 0.026751286941463386)	(45, 0.030872957687792635)	(46, 0.035804351047507094)	(47, 0.04130802956254644)	(48, 0.047755369769876835)	(49, 0.05549948378661362)	(50, 0.06478998535071766)	(51, 0.07549902352323337)	(52, 0.08797971042127616)	(53, 0.10202504928653697)	(54, 0.11972327212195664)	(55, 0.1374093186774758)	(56, 0.1563982271823516)	(57, 0.17683611299539043)	(58, 0.19961184454933092)	(59, 0.22532205955929904)	(60, 0.25408852082430006)	(61, 0.2869827409755806)	(62, 0.32554501942055764)	(63, 0.36951356614136976)	(64, 0.4201912430873737)	(65, 0.474418305624382)
SRR7179508 - polya	(1, 0.0022526117815979637)	(2, 0.0032449785934911208)	(3, 0.0038537925885175975)	(4, 0.005205359657476376)	(5, 0.0062099027492700624)	(6, 0.007244886540815073)	(7, 0.008675599429127294)	(8, 0.011001268890128434)	(9, 0.015202085455811124)	(10, 0.020206536494928762)	(11, 0.02227650407801878)	(12, 0.024857875416931043)	(13, 0.02738445349629092)	(14, 0.030659872789533367)	(15, 0.03318036272894298)	(16, 0.0362183445641251)	(17, 0.03908585848069981)	(18, 0.0410401514047348)	(19, 0.04248912871289781)	(20, 0.04424251301857406)	(21, 0.046190717802658786)	(22, 0.048333743065151986)	(23, 0.050007981551474796)	(24, 0.05173092515739973)	(25, 0.05339298736382201)	(26, 0.05573692124467394)	(27, 0.0578008006878137)	(28, 0.060333466907123844)	(29, 0.06272610590757789)	(30, 0.06498480582912612)	(31, 0.06799843510450719)	(32, 0.07077462692182791)	(33, 0.07282633008506714)	(34, 0.07517026396591908)	(35, 0.07733764178821334)	(36, 0.07989466056732454)	(37, 0.08212291978912144)	(38, 0.0839798024739522)	(39, 0.08621414983569936)	(40, 0.0883510869582423)	(41, 0.0911151024956625)	(42, 0.09372691453432609)	(43, 0.09599170259582458)	(44, 0.09792164296005851)	(45, 0.10004640380270091)	(46, 0.10242077838330418)	(47, 0.10548920091823762)	(48, 0.10808883667700067)	(49, 0.11053018079705684)	(50, 0.113269843774676)	(51, 0.11546766229672158)	(52, 0.11712972450314385)	(53, 0.11897443090807408)	(54, 0.12126965966932389)	(55, 0.12360750541022557)	(56, 0.12601232069058016)	(57, 0.1308402156711401)	(58, 0.1331902376919423)	(59, 0.1349740626973699)	(60, 0.13667265374349374)	(61, 0.13959496091962084)	(62, 0.14411844890266756)	(63, 0.14690072885993857)	(64, 0.15490663289453674)	(65, 0.15740885841409555)
SRR7179508 - polyg	(1, 0.01480026821909365)	(2, 0.17050444744711507)	(3, 0.17087582398408122)	(4, 0.1712593768009479)	(5, 0.17278749992846434)	(6, 0.17929572153529738)	(7, 0.1793626910747503)	(8, 0.17947836573380532)	(9, 0.1796062166727609)	(10, 0.17966709807226355)	(11, 0.1797401557516667)	(12, 0.17985583041072176)	(13, 0.17998368134967732)	(14, 0.1801054441486826)	(15, 0.1801419729883842)	(16, 0.18019676624793657)	(17, 0.18025155950748897)	(18, 0.1803124409069916)	(19, 0.18042202742609637)	(20, 0.1805194376653006)	(21, 0.18065337674420642)	(22, 0.1807264344236096)	(23, 0.18078731582311225)	(24, 0.18086037350251544)	(25, 0.18093951932186889)	(26, 0.1810247532811726)	(27, 0.18111607538042657)	(28, 0.1812439263193821)	(29, 0.18141439423798952)	(30, 0.18165791983600013)	(31, 0.18196841497346364)	(32, 0.18217541173177262)	(33, 0.18234587965038004)	(34, 0.18243720174963401)	(35, 0.1826137578081917)	(36, 0.18275378502704778)	(37, 0.18285728340620228)	(38, 0.18301557504490917)	(39, 0.18324083622306897)	(40, 0.18344783298137796)	(41, 0.18368527043943828)	(42, 0.1838374739381949)	(43, 0.18411752837590709)	(44, 0.1847750474905357)	(45, 0.18520121728705422)	(46, 0.18550562428456746)	(47, 0.18577959058232937)	(48, 0.1860535568800913)	(49, 0.18632143503790294)	(50, 0.18660757761556537)	(51, 0.1869302490329294)	(52, 0.18732597812969662)	(53, 0.18767909024681198)	(54, 0.18794696840462363)	(55, 0.18827572796193792)	(56, 0.18858622309940143)	(57, 0.18894542335646705)	(58, 0.18927418291378134)	(59, 0.18961511875099618)	(60, 0.1899925834279126)	(61, 0.19031525484527662)	(62, 0.19074751278174543)	(63, 0.19124674025766714)	(64, 0.19167899819413592)	(65, 0.19225128334946082)
SRR7179509 - illumina_universal_adapter	(1, 2.4706824191612786e-05)	(2, 2.4706824191612786e-05)	(3, 3.706023628741918e-05)	(4, 6.176706047903197e-05)	(5, 6.176706047903197e-05)	(6, 7.412047257483835e-05)	(7, 7.412047257483835e-05)	(8, 8.647388467064475e-05)	(9, 8.647388467064475e-05)	(10, 9.882729676645114e-05)	(11, 9.882729676645114e-05)	(12, 0.00010500400281435434)	(13, 0.00012353412095806395)	(14, 0.0001482409451496767)	(15, 0.00015441765119757992)	(16, 0.0001853011814370959)	(17, 0.00019765459353290229)	(18, 0.00021000800562870868)	(19, 0.00025942165401193426)	(20, 0.00030883530239515984)	(21, 0.0003706023628741918)	(22, 0.00043854612940112697)	(23, 0.0005126666019759653)	(24, 0.0005991404866466101)	(25, 0.0007288513136525772)	(26, 0.0008215019043711252)	(27, 0.0009697428495208019)	(28, 0.0012724014458680584)	(29, 0.0015503532180237024)	(30, 0.0019394856990416038)	(31, 0.00241509206473015)	(32, 0.0030574694937120822)	(33, 0.0037554372771251435)	(34, 0.004601646005687882)	(35, 0.005589918973352393)	(36, 0.006633782295448034)	(37, 0.007900007035268188)	(38, 0.009209468717423666)	(39, 0.011025420295507207)	(40, 0.013045203173171552)	(41, 0.015849427718919604)	(42, 0.01906749156987717)	(43, 0.023002053322391504)	(44, 0.027239273671253096)	(45, 0.031772975910414045)	(46, 0.03684405157574257)	(47, 0.041921303947118994)	(48, 0.04814742364340542)	(49, 0.05551005725250603)	(50, 0.06465775890945066)	(51, 0.0751766893090298)	(52, 0.088116888479387)	(53, 0.103558653599145)	(54, 0.12052606511273507)	(55, 0.13882146842662435)	(56, 0.1588092891976391)	(57, 0.18057600131044996)	(58, 0.20344834380583549)	(59, 0.22870489483571166)	(60, 0.2581430758600183)	(61, 0.29230643701097087)	(62, 0.3311146811099467)	(63, 0.37465428204161627)	(64, 0.4260815365964583)	(65, 0.4799053530978868)
SRR7179509 - polya	(1, 0.002452152301017569)	(2, 0.0034095417384425648)	(3, 0.004144569758143045)	(4, 0.00544785473425062)	(5, 0.006349653817244486)	(6, 0.007504697848202384)	(7, 0.008900633415028506)	(8, 0.01132190218580656)	(9, 0.015083516168979606)	(10, 0.020006350889158454)	(11, 0.022038487178918605)	(12, 0.024626527012990045)	(13, 0.02726398049544471)	(14, 0.030099088571432276)	(15, 0.03229181921843791)	(16, 0.03498486305532371)	(17, 0.037881738191790304)	(18, 0.03982122389083191)	(19, 0.04117392251532271)	(20, 0.042637801848675765)	(21, 0.04455875742957366)	(22, 0.04670207442819607)	(23, 0.048270957764363485)	(24, 0.050031318988015896)	(25, 0.051760796681428786)	(26, 0.05418824215825475)	(27, 0.05617096479963167)	(28, 0.05885165522442166)	(29, 0.06092702845651713)	(30, 0.06313211251561858)	(31, 0.06575103587992953)	(32, 0.06848731665915064)	(33, 0.07055033647915031)	(34, 0.07309513937088644)	(35, 0.07504080177597594)	(36, 0.07723353242298157)	(37, 0.0796053875453764)	(38, 0.0815510499504659)	(39, 0.08357083282813026)	(40, 0.08570797312070476)	(41, 0.08860484825717135)	(42, 0.0913905426847757)	(43, 0.09389210863417649)	(44, 0.09589336139369713)	(45, 0.09783902379878663)	(46, 0.10007499138812759)	(47, 0.10301510346692952)	(48, 0.10559696659495305)	(49, 0.10793793818710837)	(50, 0.11098305426872464)	(51, 0.11297813032219738)	(52, 0.11468907789746656)	(53, 0.11656679653602912)	(54, 0.11880276412537008)	(55, 0.12108814536309427)	(56, 0.12355265107620764)	(57, 0.1282963613209973)	(58, 0.1304458550256676)	(59, 0.13223092307351164)	(60, 0.1338924570003976)	(61, 0.13672138837033726)	(62, 0.14096478542524676)	(63, 0.14349723490488706)	(64, 0.1501248404942872)	(65, 0.15270052691626282)
SRR7179509 - polyg	(1, 0.014607909803291061)	(2, 0.1310017585699789)	(3, 0.1312117665756076)	(4, 0.13129206375423036)	(5, 0.1314032444630926)	(6, 0.13224945319165535)	(7, 0.13228651342794276)	(8, 0.1323482804884218)	(9, 0.13242857766704455)	(10, 0.132527404963811)	(11, 0.1325644652000984)	(12, 0.13265093908476905)	(13, 0.1327435896754876)	(14, 0.13281771014806243)	(15, 0.13285477038434987)	(16, 0.13290418403273307)	(17, 0.13294124426902051)	(18, 0.1329659510932121)	(19, 0.13297830450530793)	(20, 0.13302771815369116)	(21, 0.13317595909884083)	(22, 0.13322537274722404)	(23, 0.13328713980770307)	(24, 0.13334890686818213)	(25, 0.13339832051656533)	(26, 0.13347244098914018)	(27, 0.1335342080496192)	(28, 0.13362068193428986)	(29, 0.13374421605524792)	(30, 0.1338986337064455)	(31, 0.13415187865440953)	(32, 0.13437424007213405)	(33, 0.13450395089914002)	(34, 0.1346521918442897)	(35, 0.13478807937734355)	(36, 0.1348807299680621)	(37, 0.13499191067692437)	(38, 0.13515250503416984)	(39, 0.13539339657003807)	(40, 0.13557252104542727)	(41, 0.13578252905105598)	(42, 0.13599253705668468)	(43, 0.13619636835626547)	(44, 0.13652373377680435)	(45, 0.13686962931548693)	(46, 0.1371722879118342)	(47, 0.1374193561537503)	(48, 0.13765407098357063)	(49, 0.13793202275572627)	(50, 0.13812967734925918)	(51, 0.1383520387669837)	(52, 0.1385620467726124)	(53, 0.13884617525081597)	(54, 0.13908706678668417)	(55, 0.13940207879512725)	(56, 0.13976650445195354)	(57, 0.14014328352087563)	(58, 0.1404521188232708)	(59, 0.14077948424380965)	(60, 0.14109449625225273)	(61, 0.1414650986151269)	(62, 0.14190364474452805)	(63, 0.14226189369530642)	(64, 0.14265720288237224)	(65, 0.1431451626601566)
SRR7179510 - illumina_universal_adapter	(1, 5.872048877055797e-06)	(2, 1.1744097754111593e-05)	(3, 2.3488195508223186e-05)	(4, 5.284843989350217e-05)	(5, 5.284843989350217e-05)	(6, 9.395278203289275e-05)	(7, 9.982483090994855e-05)	(8, 0.00011156892866406015)	(9, 0.00012918507529522752)	(10, 0.00015854531968050652)	(11, 0.0001702894174346181)	(12, 0.0001702894174346181)	(13, 0.0002055217106969529)	(14, 0.0002231378573281203)	(15, 0.0002466260528363435)	(16, 0.00027011424834456665)	(17, 0.00027598629722162246)	(18, 0.00031121859048395724)	(19, 0.00036993907925451523)	(20, 0.00040517137251685)	(21, 0.0004991241545497428)	(22, 0.0005754607899514681)	(23, 0.0006576694742302493)	(24, 0.0007692384028943094)	(25, 0.0008631911849272022)	(26, 0.0009571439669600949)	(27, 0.0011391774821488247)	(28, 0.0013505712417228332)	(29, 0.001591325245682121)	(30, 0.0020082407159530825)	(31, 0.0025249810171339925)	(32, 0.003188522540241298)	(33, 0.003963632992012663)	(34, 0.004903160812341591)	(35, 0.005813328388285239)	(36, 0.007064074799098124)	(37, 0.008361797600927454)	(38, 0.009870914162330794)	(39, 0.01186153873165271)	(40, 0.014198614184720917)	(41, 0.017052429938970035)	(42, 0.020499322629801787)	(43, 0.02423981776448633)	(44, 0.028420716564950058)	(45, 0.033006786737930636)	(46, 0.03805087672332157)	(47, 0.04381722872059036)	(48, 0.05014142536117945)	(49, 0.05772811251033554)	(50, 0.06671234729223091)	(51, 0.0779514488429157)	(52, 0.09096978120334841)	(53, 0.10590827354657835)	(54, 0.12321320158726179)	(55, 0.14089394075607678)	(56, 0.16088826718245178)	(57, 0.18121730039481895)	(58, 0.20347823768773748)	(59, 0.22962647133726694)	(60, 0.25937427094843163)	(61, 0.29287430979203494)	(62, 0.3316826808204967)	(63, 0.37601664984226796)	(64, 0.4253359883606596)	(65, 0.47836058972047346)
SRR7179510 - polya	(1, 0.0025895735547816065)	(2, 0.0035760777661269804)	(3, 0.004310083875758955)	(4, 0.005695887410744123)	(5, 0.006658903426581274)	(6, 0.007815697055361266)	(7, 0.009166268297084099)	(8, 0.011427007114750582)	(9, 0.015273199129222127)	(10, 0.01981229291118626)	(11, 0.021785301333877006)	(12, 0.024333770546519223)	(13, 0.02705840122547311)	(14, 0.03005314615277157)	(15, 0.032266908579421605)	(16, 0.03513246843142483)	(17, 0.03790994755027222)	(18, 0.03961284172461841)	(19, 0.0411278303348988)	(20, 0.04284246860699909)	(21, 0.0448213490785669)	(22, 0.046923542576552874)	(23, 0.048620564702022)	(24, 0.050352819120753456)	(25, 0.05200286485520614)	(26, 0.05428709186838084)	(27, 0.05637166921973565)	(28, 0.058996475067779594)	(29, 0.061433375351757746)	(30, 0.06358254524076017)	(31, 0.06625432747982056)	(32, 0.06904355069642205)	(33, 0.07102830321686691)	(34, 0.07362962086940264)	(35, 0.07589623173594617)	(36, 0.07822743514013733)	(37, 0.0804764298600497)	(38, 0.08232025320744522)	(39, 0.08415233245708663)	(40, 0.08630150234608905)	(41, 0.08886171565648537)	(42, 0.09169791526410333)	(43, 0.09406435096155681)	(44, 0.09594340660221466)	(45, 0.09805734419795475)	(46, 0.10016540974481779)	(47, 0.10311905032997686)	(48, 0.1056499033959879)	(49, 0.10786953787151499)	(50, 0.11046498347517365)	(51, 0.1124908403377579)	(52, 0.11427594319638286)	(53, 0.1162372075213195)	(54, 0.11854492273000243)	(55, 0.12086438203643947)	(56, 0.12309576060972068)	(57, 0.1275409016096519)	(58, 0.1296783274009002)	(59, 0.13142232591738578)	(60, 0.13315458033611724)	(61, 0.13618455755667805)	(62, 0.1404828973346829)	(63, 0.14303723859620215)	(64, 0.15023637051947256)	(65, 0.15267327080345072)
SRR7179510 - polyg	(1, 0.01322972612000671)	(2, 0.16502218959189907)	(3, 0.1654802094043094)	(4, 0.1658795087279492)	(5, 0.16748257807138545)	(6, 0.17400055232491737)	(7, 0.1741297374002126)	(8, 0.17422369018224548)	(9, 0.17432351501315543)	(10, 0.17446444418620477)	(11, 0.17455252491936063)	(12, 0.1746582217991476)	(13, 0.17473455843454935)	(14, 0.17484612736321342)	(15, 0.17492246399861514)	(16, 0.17496944038963158)	(17, 0.1750340329272792)	(18, 0.1751279857093121)	(19, 0.1751808341492056)	(20, 0.17532176332225494)	(21, 0.17546856454418133)	(22, 0.17555664527733716)	(23, 0.175644726010493)	(24, 0.17567995830375532)	(25, 0.17576216698803412)	(26, 0.1758678638678211)	(27, 0.1760146650897475)	(28, 0.1760968737740263)	(29, 0.17629065138696914)	(30, 0.17662535817296132)	(31, 0.1769189606168141)	(32, 0.1770775059364946)	(33, 0.17723605125617511)	(34, 0.1774122127224868)	(35, 0.1775707580421673)	(36, 0.17770581516633957)	(37, 0.17788197663265126)	(38, 0.17804052195233178)	(39, 0.17822842751639756)	(40, 0.1783928448849551)	(41, 0.17856313430238974)	(42, 0.1787158075731932)	(43, 0.17902702616367713)	(44, 0.17951440622047277)	(45, 0.17991957759298963)	(46, 0.18024841233010475)	(47, 0.1805067824806952)	(48, 0.1808121290223021)	(49, 0.18112921966166312)	(50, 0.18143456620327)	(51, 0.18169293635386047)	(52, 0.18199828289546738)	(53, 0.18237409402359894)	(54, 0.18271467285846818)	(55, 0.18300827530232097)	(56, 0.18330187774617376)	(57, 0.18363071248328888)	(58, 0.1840006515625434)	(59, 0.18442931113056849)	(60, 0.18490494708961)	(61, 0.18529837436437274)	(62, 0.1857270339323978)	(63, 0.18619679784256227)	(64, 0.18666068970384966)	(65, 0.1871774300050306)
SRR7179511 - illumina_universal_adapter	(1, 5.851461355661885e-06)	(2, 1.170292271132377e-05)	(3, 1.7554384066985658e-05)	(4, 2.925730677830943e-05)	(5, 3.5108768133971316e-05)	(6, 5.266315220095697e-05)	(7, 5.851461355661886e-05)	(8, 7.021753626794263e-05)	(9, 7.606899762360451e-05)	(10, 8.777192033492829e-05)	(11, 9.947484304625206e-05)	(12, 0.00010532630440191394)	(13, 0.00010532630440191394)	(14, 0.00011117776575757583)	(15, 0.00012873214982456148)	(16, 0.00015213799524720902)	(17, 0.00019309822473684223)	(18, 0.00019894968609250412)	(19, 0.00022235553151515167)	(20, 0.00026331576100478487)	(21, 0.00030427599049441805)	(22, 0.00033938475862838936)	(23, 0.0004388596016746414)	(24, 0.00047396836980861273)	(25, 0.0005734432128548648)	(26, 0.000667066594545455)	(27, 0.0008367589738596497)	(28, 0.0010005998918181825)	(29, 0.001281470036889953)	(30, 0.0016150033341626804)	(31, 0.0020831202426156315)	(32, 0.002551237151068582)	(33, 0.0031597891320574185)	(34, 0.0039321820310047875)	(35, 0.004745535159441789)	(36, 0.005611551440079748)	(37, 0.006775992249856463)	(38, 0.008151085668437006)	(39, 0.009941632843269543)	(40, 0.012124227928931428)	(41, 0.014716425309489642)	(42, 0.017987392207304637)	(43, 0.021679664322727287)	(44, 0.025740578503556634)	(45, 0.030088214290813417)	(46, 0.03448266176891549)	(47, 0.039819194525279135)	(48, 0.04591056579652315)	(49, 0.05341799071583735)	(50, 0.061896758220191424)	(51, 0.0723416167400479)	(52, 0.08443658736220101)	(53, 0.09950995181438603)	(54, 0.11663132774105271)	(55, 0.13456020533480073)	(56, 0.15371788981323775)	(57, 0.17385861979942596)	(58, 0.19556754142893154)	(59, 0.22034262880880398)	(60, 0.2486929590769858)	(61, 0.2814728455914037)	(62, 0.32036750922248824)	(63, 0.3628666730486605)	(64, 0.41163275198674665)	(65, 0.46446559656701786)
SRR7179511 - polya	(1, 0.0023873962331100495)	(2, 0.0033879961249282317)	(3, 0.004019953951339715)	(4, 0.00543015613805423)	(5, 0.006319578264114837)	(6, 0.007331881078644343)	(7, 0.008613351115534296)	(8, 0.010912975428309418)	(9, 0.01495633522507178)	(10, 0.019461960468931432)	(11, 0.021545080711547062)	(12, 0.023780338949409903)	(13, 0.02615603225980863)	(14, 0.029034951246794276)	(15, 0.03147501063210528)	(16, 0.03410816824215313)	(17, 0.037250402990143566)	(18, 0.03894732678328551)	(19, 0.040334123124577376)	(20, 0.04193742353602874)	(21, 0.04380403970848488)	(22, 0.04583449679889955)	(23, 0.0472856592151037)	(24, 0.0489123654719777)	(25, 0.050679506801387594)	(26, 0.052903062116539105)	(27, 0.05496277651373209)	(28, 0.057496459280733686)	(29, 0.05987215259113241)	(30, 0.06206059913814996)	(31, 0.06469375674819781)	(32, 0.06750245819891551)	(33, 0.06949780652119622)	(34, 0.07213096413124406)	(35, 0.07424919314199367)	(36, 0.076700955450016)	(37, 0.07921123237159494)	(38, 0.0812592438460766)	(39, 0.08312000855717709)	(40, 0.08527334633606067)	(41, 0.08806449340271139)	(42, 0.09091415508291872)	(43, 0.09334836300687406)	(44, 0.09510380141357262)	(45, 0.09701722927687406)	(46, 0.09921737874660293)	(47, 0.1021548123471452)	(48, 0.10467679219143547)	(49, 0.1070524855018342)	(50, 0.10960372265290279)	(51, 0.11147033882535892)	(52, 0.11337206376594904)	(53, 0.11530304601331746)	(54, 0.11778991708947376)	(55, 0.12025338232020741)	(56, 0.12245353178993629)	(57, 0.12716980964259977)	(58, 0.12953965149164282)	(59, 0.1315408512752792)	(60, 0.1333840616023127)	(61, 0.13656725657979274)	(62, 0.1407803087558693)	(63, 0.14348953536354075)	(64, 0.15137145380961733)	(65, 0.15395779972881987)
SRR7179511 - polyg	(1, 0.015003146915917075)	(2, 0.164806409082217)	(3, 0.1651457938408454)	(4, 0.16526282306795864)	(5, 0.16543251544727283)	(6, 0.1657777516672569)	(7, 0.16581286043539087)	(8, 0.1658830779716588)	(9, 0.16602936450555034)	(10, 0.16629268026655514)	(11, 0.1664799270299363)	(12, 0.1666496194092505)	(13, 0.1668017574044977)	(14, 0.16710603339499214)	(15, 0.16715284508583741)	(16, 0.16719965677668272)	(17, 0.16725817139023935)	(18, 0.16732253746515163)	(19, 0.1673752006173526)	(20, 0.1674629725376875)	(21, 0.16762096199429039)	(22, 0.16770873391462532)	(23, 0.16781406021902723)	(24, 0.1679252379847848)	(25, 0.16796034675291877)	(26, 0.16805982159596503)	(27, 0.16814174205494428)	(28, 0.16825877128205752)	(29, 0.16854549288848494)	(30, 0.16886732326304635)	(31, 0.1692125594830304)	(32, 0.1694290635531899)	(33, 0.16966312200741637)	(34, 0.16978600269588529)	(35, 0.16997324945926645)	(36, 0.17015464476129197)	(37, 0.1703184856792505)	(38, 0.17054669267212133)	(39, 0.1708100084331261)	(40, 0.17114354173039883)	(41, 0.17138345164598098)	(42, 0.17159995571614045)	(43, 0.17193348901341318)	(44, 0.17265907022151525)	(45, 0.17310963274590122)	(46, 0.1734665718885966)	(47, 0.17369477888146742)	(48, 0.17394639171976087)	(49, 0.17429162793974493)	(50, 0.17463686415972898)	(51, 0.17494114015022338)	(52, 0.17526882198614047)	(53, 0.1755555435925679)	(54, 0.1759241856579746)	(55, 0.17625186749389166)	(56, 0.1765678464070974)	(57, 0.1768779738589475)	(58, 0.17721150715622022)	(59, 0.17758600068298258)	(60, 0.17792538544161096)	(61, 0.17827647312295067)	(62, 0.17869777834055833)	(63, 0.17924196424663488)	(64, 0.1797744472300001)	(65, 0.18040055359505594)
